sample,assay,meanTargetCt,meanGapdhCt,meanTbpCt,meanRefCt,deltaCt,ddCtVsNcFam,relativeVsNcFam,apparentKnockdownVsNcFam,ddCtVsMock,relativeVsMock
siZNF436-4,ZNF436-2,26.717499999999998,16.835,25.572499999999998,21.20375,5.513749999999998,-0.9062500000000036,1.8741676341103046,-0.8741676341103046,0.2062500000000007,0.8667873476983029
siFBN2-2,FBN2-1,26.4175,16.085,24.645000000000003,20.365000000000002,6.052499999999998,2.907499999999999,0.1332770243020632,0.8667229756979368,3.035,0.12200397009702807
siFBN2-2,FBN2-2,26.152499999999996,16.085,24.645000000000003,20.365000000000002,5.787499999999994,2.58499999999999,0.16666233463640096,0.8333376653635991,2.7199999999999953,0.15177436054938134
siFBN2-2,ZNF436-1,27.455000000000002,16.085,24.645000000000003,20.365000000000002,7.09,0.28000000000000114,0.8235910172675724,0.17640898273242756,0.37500000000000355,0.7711054127039685
siFBN2-2,ZNF436-2,26.5675,16.085,24.645000000000003,20.365000000000002,6.202499999999997,-0.2175000000000047,1.162717004704126,-0.16271700470412598,0.8949999999999996,0.5377471952286893
siFBN2-3,FBN2-1,27.0925,15.9575,24.865000000000002,20.411250000000003,6.681249999999999,3.536249999999999,0.0861951198438951,0.913804880156105,3.6637500000000003,0.07890442391713522
siFBN2-3,FBN2-2,26.985,15.9575,24.865000000000002,20.411250000000003,6.573749999999997,3.3712499999999928,0.09663904446057758,0.9033609555394224,3.506249999999998,0.08800626253740168
siFBN2-3,ZNF436-1,27.259999999999998,15.9575,24.865000000000002,20.411250000000003,6.8487499999999955,0.03874999999999673,0.9734980539006678,0.026501946099332208,0.13374999999999915,0.9114592107986812
siFBN2-3,ZNF436-2,25.785000000000004,15.9575,24.865000000000002,20.411250000000003,5.373750000000001,-1.0462500000000006,2.065154904036504,-1.065154904036504,0.0662500000000037,0.9551174128058765
siFBN2-4,FBN2-1,26.935,16.145,25.1175,20.63125,6.303749999999997,3.1587499999999977,0.11197511088834286,0.8880248891116571,3.286249999999999,0.10250384979687228
siFBN2-4,FBN2-2,27.187499999999996,16.145,25.1175,20.63125,6.556249999999995,3.353749999999991,0.0978184218893231,0.9021815781106769,3.488749999999996,0.0890802859841795
siFBN2-4,ZNF436-1,27.5425,16.145,25.1175,20.63125,6.911249999999999,0.10125000000000028,0.932224930168954,0.06777506983104598,0.1962500000000027,0.8728163304837477
siFBN2-4,ZNF436-2,25.4775,16.145,25.1175,20.63125,4.846249999999998,-1.573750000000004,2.9767746299012754,-1.9767746299012754,-0.4612499999999997,1.3767341507701354
siZNF436-1,FBN2-1,23.655,16,24.79,20.395,3.2600000000000016,0.11500000000000199,0.9233823107293936,0.07661768927060641,0.24250000000000327,0.8452792851303901
siZNF436-1,FBN2-2,23.6325,16,24.79,20.395,3.2375000000000007,0.03499999999999659,0.9760317607762269,0.023968239223773113,0.1700000000000017,0.8888426811665692
siZNF436-1,ZNF436-1,30.102500000000003,16,24.79,20.395,9.707500000000003,2.8975000000000044,0.13420403931600622,0.8657959606839938,2.992500000000007,0.12565151750518389
siZNF436-1,ZNF436-2,25.224999999999998,16,24.79,20.395,4.829999999999998,-1.5900000000000034,3.010493494822142,-2.010493494822142,-0.47749999999999915,1.3923288526314923
siZNF436-2,FBN2-1,23.665,16.0175,24.974999999999998,20.496249999999996,3.168750000000003,0.02375000000000327,0.9836725167159749,0.016327483284025113,0.15125000000000455,0.9004699267796173
siZNF436-2,FBN2-2,23.674999999999997,16.0175,24.974999999999998,20.496249999999996,3.178750000000001,-0.02375000000000327,1.0165984949325768,-0.016598494932576813,0.11125000000000185,0.9257855822101021
siZNF436-2,ZNF436-1,28.979999999999997,16.0175,24.974999999999998,20.496249999999996,8.48375,1.6737500000000018,0.31343756499555786,0.6865624350044421,1.7687500000000043,0.29346289340878523
siZNF436-2,ZNF436-2,25.2375,16.0175,24.974999999999998,20.496249999999996,4.741250000000004,-1.6787499999999973,3.201504416114645,-2.201504416114645,-0.566249999999993,1.480669856304376
